Time RV eRV BIS FWHM Contrast
53298.51757287 -0.49889448 1.06642555 -55.56880187 6729.49785477 53.59886619
53298.51860749 -0.92727628 1.16628898 -56.62045046 6737.24122766 53.51092147
53298.51969307 -1.52945909 1.03180421 -56.24874277 6727.81373769 53.58841102
53298.52075120 -1.15209351 1.01686609 -57.79741615 6727.88555493 53.58577107
53298.52179672 0.23794893 0.99424193 -57.73655227 6727.48506409 53.57953215
53298.52287544 -0.44930063 1.07121284 -57.61346230 6729.39747957 53.58008945
53298.52393370 0.54789823 1.01817665 -54.90994435 6730.00092677 53.58042430
53298.52498556 -0.46008352 1.00418826 -55.33413452 6727.45932338 53.59581083
53298.61566704 1.34935629 1.03391610 -59.55928012 6730.42659580 53.56967997
53298.61669462 -5.50184623 1.15669247 -56.72448487 6730.12460636 53.56529094
53298.61779407 -1.69419806 1.20598501 -56.27468664 6732.62014174 53.58856061
53298.61885093 1.88963999 1.26484222 -56.37585735 6728.88882674 53.56160654
53298.61989818 2.19349313 1.34139321 -57.60608981 6733.88235782 53.57061451
53298.62096358 -1.32069140 1.70000436 -58.44684336 6740.94628698 53.57623292
53298.62207924 0.46712169 1.51704969 -57.94137356 6733.76695554 53.54676204
53298.62305105 0.85852019 1.53191337 -62.75847932 6734.16806709 53.58745972
53298.62416091 0.11963100 1.59417057 -56.83764685 6728.75803942 53.57386991
53298.62519497 -3.16356191 1.56947833 -60.32699145 6737.39192269 53.55520483
53308.51034632 -5.93910371 0.64255922 -56.48872407 6726.27981503 53.57531385
53308.51243019 -6.39330688 0.68734984 -57.12748934 6727.83775526 53.55711953
53308.51448755 -5.22141683 0.74849742 -53.96210233 6728.43825582 53.54822923
53308.51666168 -8.24673073 0.73772637 -53.64589373 6726.52374930 53.55824036
53308.51867288 -4.33456724 0.74266214 -55.01720652 6728.17555086 53.54934631
53309.51643018 -7.08290642 0.55986169 -55.92809773 6732.40266779 53.54707250
53309.51886186 -7.79759683 0.59834564 -56.79751215 6727.45169397 53.55422388
53309.52128172 -9.46908910 0.61822782 -56.43944606 6729.58462055 53.53419900
53309.52374639 -8.57758235 0.59166142 -57.76834901 6726.91581845 53.54281580
53311.53298472 -9.27292387 0.47027638 -58.85700473 6721.59451671 53.54956285
53311.53560897 -7.00997935 0.47477892 -58.55564745 6720.71485044 53.55015006
53311.53830133 -7.35560950 0.48358649 -60.35036638 6720.79152340 53.54294503
